,성별코드,가맹점업종명,시군구명,총결제금액
703,F,음료식품,파주시,68426224
704,F,음료식품,포천시,196000
705,F,음료식품,하남시,202119696
706,F,음료식품,화성시,335615598
707,F,의류,가평군,1478300
708,F,의류,고양시 덕양구,9128160
709,F,의류,고양시 일산동구,16516410
710,F,의류,고양시 일산서구,16072450
711,F,의류,과천시,10077400
712,F,의류,광명시,11985790
713,F,의류,광주시,4682460
714,F,의류,구리시,8729570
715,F,의류,군포시,43607890
716,F,의류,남양주시,17899970
717,F,의류,동두천시,6147100
718,F,의류,부천시,75000341
719,F,의류,수원시 권선구,5573650
720,F,의류,수원시 영통구,4462300
721,F,의류,수원시 장안구,8011250
722,F,의류,수원시 팔달구,5994330
723,F,의류,안산시 단원구,22974290
724,F,의류,안산시 상록구,12065890
725,F,의류,안성시,2693000
726,F,의류,안양시 만안구,50000
727,F,의류,양주시,9890450
728,F,의류,양평군,34021100
729,F,의류,여주시,1495600
730,F,의류,연천군,3075300
731,F,의류,오산시,5641150
732,F,의류,용인시 기흥구,2817500
733,F,의류,용인시 수지구,1227300
734,F,의류,용인시 처인구,10267120
735,F,의류,의정부시,25574830
736,F,의류,이천시,8322590
737,F,의류,파주시,5572795
738,F,의류,하남시,27689750
739,F,의류,화성시,55097318
740,F,의원,가평군,2552600
741,F,의원,고양시 덕양구,74485289
742,F,의원,고양시 일산동구,44579808
743,F,의원,고양시 일산서구,98775508
744,F,의원,과천시,21983750
745,F,의원,광명시,46399839
746,F,의원,광주시,8624710
747,F,의원,구리시,27503530
748,F,의원,군포시,300531750
749,F,의원,남양주시,53088730
750,F,의원,동두천시,4885100
751,F,의원,부천시,261669540
752,F,의원,수원시 권선구,19461280
