년월,시도명,시군구명,성별코드,가맹점업종명,총결제금액
2019-04,경기도,수원시 팔달구,M,약국,68800
2019-04,경기도,수원시 팔달구,M,서적문구,71100
2019-04,경기도,수원시 팔달구,M,수리서비스,103350
2019-04,경기도,수원시 팔달구,M,신변잡화,152212
2019-04,경기도,수원시 팔달구,M,레저업소,172455
2019-04,경기도,수원시 팔달구,M,문화.취미,222600
2019-04,경기도,수원시 팔달구,M,보건위생,245000
2019-04,경기도,수원시 팔달구,M,학원,500000
2019-04,경기도,수원시 팔달구,M,음료식품,891150
2019-04,경기도,수원시 팔달구,M,의원,978700
2019-04,경기도,수원시 팔달구,M,유통업 영리,1846340
2019-04,경기도,수원시 팔달구,M,일반휴게음식,9580100
2019-04,경기도,시흥시,F,일반휴게음식,410900
2019-04,경기도,시흥시,M,음료식품,5000
2019-04,경기도,시흥시,M,일반휴게음식,192004
2019-04,경기도,안산시 단원구,F,기타,1000
2019-04,경기도,안산시 단원구,F,광학제품,4000
2019-04,경기도,안산시 단원구,F,직물,9000
